,DayNum,VehId,Trip,Timestamp(s),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%],Timestamp(s)_round
21977055,291.57797988,560,1209,0.0,42.2744186111,-83.6741502778,36.0,26.209999084499998,2742.0,,21.0,,,0.0,,-24.459991455100003,4.0,194.5,0.0,0.0,,,0.0
21977056,291.57797988,560,1209,0.4,42.2744186111,-83.6741502778,36.0,26.209999084499998,2742.0,,21.0,,,0.0,,-18.6000061035,4.0,194.5,0.0,0.0,,,0.0
21977057,291.57797988,560,1209,0.7,42.2744186111,-83.6741502778,39.0,26.209999084499998,2742.0,,21.0,,,0.0,,-18.6000061035,4.0,194.5,0.0,0.0,,,0.0
21977058,291.57797988,560,1209,1.3,42.2744186111,-83.6741502778,39.0,26.209999084499998,3127.0,,21.0,,,0.0,,-18.6000061035,4.0,194.5,0.0,0.0,,,1.0
21977059,291.57797988,560,1209,1.4,42.2744186111,-83.6741502778,39.0,30.25,3127.0,,21.0,,,0.0,,-14.6900024414,4.0,194.5,0.0,0.0,,,1.0
21977060,291.57797988,560,1209,1.7,42.2744186111,-83.6741502778,44.0,30.25,3127.0,,21.0,,,0.0,,-14.6900024414,4.0,194.5,0.0,0.0,,,1.0
21977061,291.57797988,560,1209,1.9,42.2744186111,-83.6741502778,44.0,30.25,3127.0,,21.0,,,0.0,,-14.6900024414,4.0,194.5,-3.125,0.0,,,1.0
21977062,291.57797988,560,1209,2.0,42.2744186111,-83.6741502778,44.0,30.25,3127.0,,21.0,,,0.0,,-14.6900024414,4.0,197.0,-3.125,0.0,,,2.0
21977063,291.57797988,560,1209,2.5,42.2744186111,-83.6741502778,44.0,30.25,3127.0,,21.0,,,0.0,,-7.35998535156,4.0,197.0,-3.125,0.0,,,2.0
21977064,291.57797988,560,1209,2.8,42.2744186111,-83.6741502778,48.0,30.25,3127.0,,21.0,,,0.0,,-7.35998535156,4.0,197.0,-3.125,0.0,,,2.0
21977065,291.57797988,560,1209,3.1,42.2743427778,-83.6745861111,48.0,30.25,3127.0,,21.0,,,0.0,,-7.35998535156,4.0,197.0,-3.125,0.0,,,3.0
21977066,291.57797988,560,1209,3.3,42.2743427778,-83.6745861111,48.0,30.25,3263.0,,21.0,,,0.0,,-7.35998535156,4.0,197.0,-3.125,0.0,,,3.0
21977067,291.57797988,560,1209,3.4,42.2743427778,-83.6745861111,48.0,31.1399993896,3263.0,,21.0,,,0.0,,-7.35998535156,4.0,197.0,-3.125,0.0,,,3.0
21977068,291.57797988,560,1209,3.5,42.2743427778,-83.6745861111,48.0,31.1399993896,3263.0,,21.0,,,0.0,,-17.130004882799998,4.0,197.0,-3.125,0.0,,,3.0
21977069,291.57797988,560,1209,3.8,42.2743427778,-83.6745861111,52.0,31.1399993896,3263.0,,21.0,,,0.0,,-17.130004882799998,4.0,197.0,-3.125,0.0,,,3.0
21977070,291.57797988,560,1209,4.5,42.2743427778,-83.6745861111,52.0,31.1399993896,3263.0,,21.0,,,0.0,,-14.200012207,4.0,197.0,-3.125,0.0,,,4.0
21977071,291.57797988,560,1209,4.9,42.2743427778,-83.6745861111,55.0,31.1399993896,3263.0,,21.0,,,0.0,,-14.200012207,4.0,197.0,-3.125,0.0,,,4.0
21977072,291.57797988,560,1209,5.3,42.2743427778,-83.6745861111,55.0,31.1399993896,1950.0,,21.0,,,0.0,,-14.200012207,4.0,197.0,-3.125,0.0,,,5.0
21977073,291.57797988,560,1209,5.4,42.2743427778,-83.6745861111,55.0,5.730000019069999,1950.0,,21.0,,,0.0,,-14.200012207,4.0,197.0,-3.125,0.0,,,5.0
21977074,291.57797988,560,1209,5.6,42.2743427778,-83.6745861111,55.0,5.730000019069999,1950.0,,21.0,,,0.0,,31.7399902344,4.0,197.0,-3.125,0.0,,,5.0
21977075,291.57797988,560,1209,5.9,42.2743427778,-83.6745861111,57.0,5.730000019069999,1950.0,,21.0,,,0.0,,31.7399902344,4.0,197.0,-3.125,0.0,,,5.0
21977076,291.57797988,560,1209,6.1,42.2743736111,-83.6752197222,57.0,5.730000019069999,1950.0,,21.0,,,0.0,,31.7399902344,4.0,197.0,-3.125,0.0,,,6.0
21977077,291.57797988,560,1209,6.6,42.2743736111,-83.6752197222,57.0,5.730000019069999,1950.0,,21.0,,,0.0,,41.5199890137,4.0,197.0,-3.125,0.0,,,6.0
21977078,291.57797988,560,1209,6.9,42.2743736111,-83.6752197222,56.0,5.730000019069999,1950.0,,21.0,,,0.0,,41.5199890137,4.0,197.0,-2.34375,0.0,,,6.0
21977079,291.57797988,560,1209,7.0,42.2743736111,-83.6752197222,56.0,5.730000019069999,1950.0,,21.0,,,0.0,,41.5199890137,4.0,200.0,-2.34375,0.0,,,7.0
21977080,291.57797988,560,1209,7.3,42.2743736111,-83.6752197222,56.0,5.730000019069999,0.0,,21.0,,,0.0,,41.5199890137,4.0,200.0,-2.34375,0.0,,,7.0
21977081,291.57797988,560,1209,7.4,42.2743736111,-83.6752197222,56.0,1.37000000477,0.0,,21.0,,,0.0,,41.5199890137,4.0,200.0,-2.34375,0.0,,,7.0
21977082,291.57797988,560,1209,7.7,42.2743736111,-83.6752197222,56.0,1.37000000477,0.0,,21.0,,,0.0,,8.76998901367,4.0,200.0,-2.34375,0.0,,,7.0
21977083,291.57797988,560,1209,8.0,42.2743736111,-83.6752197222,54.0,1.37000000477,0.0,,21.0,,,0.0,,8.76998901367,4.0,200.0,-2.34375,0.0,,,8.0
21977084,291.57797988,560,1209,8.7,42.2743736111,-83.6752197222,54.0,1.37000000477,0.0,,21.0,,,0.0,,23.429992675799998,4.0,200.0,-2.34375,0.0,,,8.0
21977085,291.57797988,560,1209,9.0,42.2743908333,-83.6757941667,53.0,1.37000000477,0.0,,21.0,,,0.0,,23.429992675799998,4.0,200.0,-2.34375,0.0,,,9.0
21977086,291.57797988,560,1209,9.4,42.2743908333,-83.6757941667,53.0,0.20999999344300002,0.0,,21.0,,,0.0,,23.429992675799998,4.0,200.0,-2.34375,0.0,,,9.0
21977087,291.57797988,560,1209,9.7,42.2743908333,-83.6757941667,53.0,0.20999999344300002,0.0,,21.0,,,0.0,,22.950012206999997,4.0,200.0,-2.34375,0.0,,,9.0
21977088,291.57797988,560,1209,10.1,42.2743908333,-83.6757941667,52.0,0.20999999344300002,0.0,,21.0,,,0.0,,22.950012206999997,4.0,200.0,-2.34375,0.0,,,10.0
21977089,291.57797988,560,1209,10.8,42.2743908333,-83.6757941667,52.0,0.20999999344300002,0.0,,21.0,,,0.0,,21.970001220700002,4.0,200.0,-2.34375,0.0,,,10.0
21977090,291.57797988,560,1209,11.1,42.2743908333,-83.6757941667,50.0,0.20999999344300002,0.0,,21.0,,,0.0,,21.970001220700002,4.0,200.0,-2.34375,0.0,,,11.0
21977091,291.57797988,560,1209,11.4,42.2743908333,-83.6757941667,50.0,0.199999988079,0.0,,21.0,,,0.0,,21.970001220700002,4.0,200.0,-2.34375,0.0,,,11.0
21977092,291.57797988,560,1209,12.0,42.2744052778,-83.6763233333,50.0,0.199999988079,0.0,,21.0,,,0.0,,21.970001220700002,4.0,200.0,0.0,0.0,,,12.0
21977093,291.57797988,560,1209,12.1,42.2744052778,-83.6763233333,49.0,0.199999988079,0.0,,21.0,,,0.0,,21.970001220700002,4.0,201.0,0.0,0.0,,,12.0
21977094,291.57797988,560,1209,12.9,42.2744052778,-83.6763233333,49.0,0.199999988079,0.0,,21.0,,,0.0,,21.4800109863,4.0,201.0,0.0,0.0,,,12.0
21977095,291.57797988,560,1209,13.2,42.2744052778,-83.6763233333,48.0,0.199999988079,0.0,,21.0,,,0.0,,21.4800109863,4.0,201.0,0.0,0.0,,,13.0
21977096,291.57797988,560,1209,13.9,42.2744052778,-83.6763233333,48.0,0.199999988079,0.0,,21.0,,,0.0,,20.5,4.0,201.0,0.0,0.0,,,13.0
21977097,291.57797988,560,1209,14.2,42.2744052778,-83.6763233333,47.0,0.199999988079,0.0,,21.0,,,0.0,,20.5,4.0,201.0,0.0,0.0,,,14.0
21977098,291.57797988,560,1209,14.9,42.2744052778,-83.6763233333,47.0,0.199999988079,0.0,,21.0,,,0.0,,20.0100097656,4.0,201.0,0.0,0.0,,,14.0
21977099,291.57797988,560,1209,15.3,42.2744052778,-83.6763233333,46.0,0.199999988079,0.0,,21.0,,,0.0,,20.0100097656,4.0,201.0,0.0,0.0,,,15.0
21977100,291.57797988,560,1209,16.0,42.2744208333,-83.6769591667,46.0,0.199999988079,0.0,,21.0,,,0.0,,21.970001220700002,4.0,201.0,0.0,0.0,,,16.0
21977101,291.57797988,560,1209,16.3,42.2744208333,-83.6769591667,45.0,0.199999988079,0.0,,21.0,,,0.0,,21.970001220700002,4.0,201.0,0.0,0.0,,,16.0
21977102,291.57797988,560,1209,17.0,42.2744208333,-83.6769591667,45.0,0.199999988079,0.0,,21.0,,,0.0,,40.049987793,4.0,201.0,0.0,0.0,,,17.0
21977103,291.57797988,560,1209,17.1,42.2744208333,-83.6769591667,45.0,0.199999988079,0.0,,21.0,,,0.0,,40.049987793,4.0,201.5,0.0,0.0,,,17.0
21977104,291.57797988,560,1209,17.3,42.2744208333,-83.6769591667,43.0,0.199999988079,0.0,,21.0,,,0.0,,40.049987793,4.0,201.5,0.0,0.0,,,17.0
21977105,291.57797988,560,1209,17.4,42.2744208333,-83.6769591667,43.0,0.179999992251,0.0,,21.0,,,0.0,,40.049987793,4.0,201.5,0.0,0.0,,,17.0
