Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
0,293.15,252,0,38.50971429,11.65999985,0,0,500,481.1278765,-1.995308217,-0.959998406,80
1,293.1531053,252,3.06388462,38.50358652,18.87799911,12.89967098,0.001759528,500,471.7629982,-78.64875674,-37.10357329,79.9888014
2,293.1580824,252,7.411618144,38.49489105,21.37999916,20.4432009,0.006597482,500,476.6236133,-38.72311299,-18.45635003,79.97290965
3,293.1594133,253,9.705681416,38.49030292,23.37999916,23.31531879,0.012723765,396.5749675,478.501838,-23.27640419,-11.13780219,79.96452413
4,293.1599308,253,11.16093616,38.48739241,24.61999893,24.73949219,0.019424059,344.8401806,479.5847007,-14.3669216,-6.890155796,79.9592046
5,293.1600897,253,12.00421242,38.48570586,24.97599907,25.1434108,0.026375871,320.6016732,480.5223871,-6.661934962,-3.20120889,79.95612206
6,293.1601611,254,12.57462657,38.48456503,24.39999962,25.10397988,0.033326703,306.0493671,479.5515994,-14.60340273,-7.003085135,79.95403693
7,293.1607469,254,14.11579597,38.48148269,26.09454536,26.54955797,0.040474663,272.6129138,478.1655873,-25.92405336,-12.3959902,79.94840318
8,293.1614878,254,15.75554526,38.4782032,28.40999985,28.00613432,0.048113026,244.220067,480.7255532,-4.904715198,-2.357821927,79.94240896
9,293.1614962,255,15.83662518,38.47915624,26.34000015,25.89254795,0.055660921,242.9757337,482.1497066,12.121086,5.844178058,79.94415093
10,293.1615295,255,15.88714007,38.48054898,22.97999954,23.04889988,0.062410886,242.2119325,481.5247727,2.900077116,1.396458974,79.94669657
11,293.1614991,255,16.01569369,38.48063495,21.70499897,21.82681302,0.068621954,240.2682999,481.0640983,-2.160248715,-1.0392181,79.94685369
12,293.161489,255.9,16.29575733,38.48007482,21.0899992,21.31374266,0.07459764,236.1355416,480.5820192,-6.10408557,-2.933513769,79.9458299
13,293.1615352,256,16.85170528,38.47896293,21.13181773,21.3217073,0.080509626,228.3386891,480.2356331,-8.929093189,-4.288068721,79.94379759
14,293.1616296,256,17.56187365,38.47754259,21.5579998,21.61217754,0.086474046,219.0970244,480.2514037,-8.782357416,-4.217739477,79.9412015
15,293.1618217,258,18.45281244,38.47576071,21.65999985,22.20979308,0.092521414,208.5089243,478.7897498,-20.73907567,-9.929656853,79.93794455
16,293.1626027,258,20.24029067,38.47218576,24.39363567,24.18595713,0.098978348,190.0772394,479.0539367,-18.53031584,-8.877020749,79.93141009
